route	words	reason
/marketing-outsourcing/	118	thin or legacy content; expand/review before indexing
/meta-ads-setup/	117	thin or legacy content; expand/review before indexing
/mobile-farm-setup/	116	thin or legacy content; expand/review before indexing
/mobile-farm-support/	114	thin or legacy content; expand/review before indexing
/outsourced-sales-manager/	119	thin or legacy content; expand/review before indexing
/performance-marketing/	118	thin or legacy content; expand/review before indexing
/physical-ai/	94	thin or legacy content; expand/review before indexing
/product-discovery/	90	thin or legacy content; expand/review before indexing
/proof-of-concept/	91	thin or legacy content; expand/review before indexing
/raspberry-stm32-robotics/	92	thin or legacy content; expand/review before indexing
/rebranding-service/	118	thin or legacy content; expand/review before indexing
/rnd-as-a-service/	96	thin or legacy content; expand/review before indexing
/robot-actuators/	89	thin or legacy content; expand/review before indexing
/robot-cad-design/	88	thin or legacy content; expand/review before indexing
/robot-development/	98	thin or legacy content; expand/review before indexing
/robot-firmware/	90	thin or legacy content; expand/review before indexing
/robot-kinematics/	88	thin or legacy content; expand/review before indexing
/robot-power-safety/	89	thin or legacy content; expand/review before indexing
/robot-prototyping/	90	thin or legacy content; expand/review before indexing
/robot-python-cpp/	93	thin or legacy content; expand/review before indexing
/robot-sdk/	93	thin or legacy content; expand/review before indexing
/robot-sensors/	92	thin or legacy content; expand/review before indexing
/robot-system-integration/	95	thin or legacy content; expand/review before indexing
/robot-telemetry-logging/	93	thin or legacy content; expand/review before indexing
/robot-testing/	91	thin or legacy content; expand/review before indexing
/robotics-api/	97	thin or legacy content; expand/review before indexing
/robotics-architecture/	93	thin or legacy content; expand/review before indexing
/robotics-b2b/	92	thin or legacy content; expand/review before indexing
/robotics-consulting/	91	thin or legacy content; expand/review before indexing
/robotics-cost-estimation/	93	thin or legacy content; expand/review before indexing
/robotics-documentation/	92	thin or legacy content; expand/review before indexing
/robotics-for-education/	93	thin or legacy content; expand/review before indexing
/robotics-investment/	98	thin or legacy content; expand/review before indexing
/robotics-mvp/	92	thin or legacy content; expand/review before indexing
/robotics-outsourcing/	95	thin or legacy content; expand/review before indexing
/robotics-partnership/	92	thin or legacy content; expand/review before indexing
/robotics-rnd/	94	thin or legacy content; expand/review before indexing
/robotics-roadmap/	94	thin or legacy content; expand/review before indexing
/robotics-software/	93	thin or legacy content; expand/review before indexing
/robotics-team/	92	thin or legacy content; expand/review before indexing
/robotics/	100	thin or legacy content; expand/review before indexing
/ros2-development/	95	thin or legacy content; expand/review before indexing
/saas-integration/	116	thin or legacy content; expand/review before indexing
/sales-as-a-service/	118	thin or legacy content; expand/review before indexing
/sales-training/	117	thin or legacy content; expand/review before indexing
/service-robots-business/	94	thin or legacy content; expand/review before indexing
/smart-device-development/	91	thin or legacy content; expand/review before indexing
/social-media-content-distribution/	116	thin or legacy content; expand/review before indexing
/social-media-management/	117	thin or legacy content; expand/review before indexing
/software-setup-service/	115	thin or legacy content; expand/review before indexing
/spatial-audio-robotics/	91	thin or legacy content; expand/review before indexing
/startup-mvp-development/	95	thin or legacy content; expand/review before indexing
/technical-feasibility/	94	thin or legacy content; expand/review before indexing
/technology-consulting/	92	thin or legacy content; expand/review before indexing
/technology-investor/	93	thin or legacy content; expand/review before indexing
/technology-product-development/	94	thin or legacy content; expand/review before indexing
/telegram-bot-development/	119	thin or legacy content; expand/review before indexing
/threejs-development/	117	thin or legacy content; expand/review before indexing
/tiktok-ads-setup/	117	thin or legacy content; expand/review before indexing
/ui-ux-design/	114	thin or legacy content; expand/review before indexing
/voice-ai-robotics/	92	thin or legacy content; expand/review before indexing
/web-app-development/	116	thin or legacy content; expand/review before indexing
/webgl-development/	114	thin or legacy content; expand/review before indexing
